year,bid,irr_depth_pychamp,crop,irrig_method,yield_pychamp_bu
2012,b1,26.76630386,others,1,0.70697125
2012,b2,26.77156667,others,1,0.70701516
2012,b3,0.0,corn,0,0.0
2012,b4,43.78124762,corn,1,2.20601506
2012,b5,0.0,others,0,0.18713386
2012,b6,0.0,corn,0,0.0
2012,b7,43.78081677,corn,1,2.20600471
2012,b8,0.0,others,0,0.18591103
2012,b9,43.77900061,corn,1,2.2059611
2012,b10,0.0,others,0,0.18713386
2012,b11,0.0,corn,0,0.0
2012,b12,0.0,corn,0,0.0
2012,b13,0.0,corn,0,0.0
2012,b14,0.0,others,0,0.18591103
2012,b15,0.0,others,0,0.18713386
2012,b16,0.0,others,0,0.18713386
2012,b17,0.0,corn,0,0.0
2012,b18,0.0,corn,0,0.0
2012,b19,43.28094521,corn,1,2.19393108
2012,b20,0.0,corn,0,0.0
2012,b21,43.09398704,corn,1,2.19627218
2012,b22,0.0,corn,0,0.0
2012,b23,0.0,corn,0,0.0
2012,b24,0.0,corn,0,0.0
2012,b25,0.0,corn,0,0.0
2012,b26,0.0,others,0,0.18621686
2012,b27,43.0930201,corn,1,2.19624797
2012,b28,43.04075214,corn,1,2.19493545
2012,b29,43.0400856,corn,1,2.19491867
2012,b30,43.03938862,corn,1,2.19490112
2012,b31,43.27919579,corn,1,2.19388685
2012,b32,43.22711087,corn,1,2.19256625
2012,b33,43.22499394,corn,1,2.19251242
2012,b34,0.0,corn,0,0.0
2012,b35,26.7867418,others,1,0.70339616
2012,b36,43.79709059,corn,1,2.19559773
2012,b37,0.0,others,0,0.17237215
2012,b38,0.0,others,0,0.17237215
2012,b39,43.85172328,corn,1,2.19696573
2012,b40,0.0,corn,0,0.0
2012,b41,0.0,corn,0,0.0
2012,b42,0.0,corn,0,0.0
2012,b43,26.19279952,others,1,0.70213593
2012,b44,0.0,corn,0,0.0
2012,b45,0.0,corn,0,0.0
2012,b46,0.0,others,0,0.17237215
2012,b47,0.0,others,0,0.17237215
2012,b48,0.0,others,0,0.17237215
2012,b49,43.85085966,corn,1,2.19694416
2012,b50,0.0,others,0,0.17237215
2012,b51,0.0,corn,0,0.0
2012,b52,0.0,others,0,0.16523099
2012,b53,0.0,corn,0,0.0
2012,b54,0.0,others,0,0.19535318
2012,b55,25.85495538,others,1,0.70180175
2012,b56,0.0,others,0,0.19535318
2012,b57,26.30232556,others,1,0.70160134
2012,b58,43.3891154,corn,1,2.1923629
2012,b59,26.33718052,others,1,0.70190983
2012,b60,26.35077729,others,1,0.7020299
2012,b61,43.3934875,corn,1,2.19247412
2012,b62,0.0,corn,0,0.0
2012,b63,0.0,others,0,0.16771986
2012,b64,0.0,corn,0,0.0
2012,b65,0.0,corn,0,0.0
2012,b66,0.0,corn,0,0.0
2012,b67,42.95824072,corn,1,2.19335639
2012,b68,26.31926852,others,1,0.70175142
2012,b69,0.0,corn,0,0.0
2012,b70,0.0,corn,0,0.0
2012,b71,43.39156486,corn,1,2.19242521
2012,b72,43.39266223,corn,1,2.19245313
2012,b73,26.40187062,others,1,0.70247971
2012,b74,0.0,others,0,0.16771986
2012,b75,27.08547606,others,1,0.70468026
2012,b76,42.96114885,corn,1,2.19343007
2012,b77,42.9599914,corn,1,2.19340075
2012,b78,25.87463807,others,1,0.7019757
2012,b79,0.0,corn,0,0.0
2012,b80,43.38688306,corn,1,2.1923061
2012,b81,43.3852084,corn,1,2.19226347
2012,b82,43.38980004,corn,1,2.19238032
2012,b83,43.39080659,corn,1,2.19240593
2012,b84,0.0,corn,0,0.0
2012,b85,43.39368906,corn,1,2.19247924
2012,b86,0.0,others,0,0.16771986
2012,b87,42.96073122,corn,1,2.19341949
2012,b88,25.8695552,others,1,0.70193081
2012,b89,25.85359933,others,1,0.70178975
2012,b90,42.95888128,corn,1,2.19337262
2012,b91,26.28629801,others,1,0.70145915
2012,b92,43.38415092,corn,1,2.19223656
2012,b93,43.38634636,corn,1,2.19229244
2012,b94,43.39064456,corn,1,2.1924018
2012,b95,0.0,corn,0,0.0
2012,b96,43.39294159,corn,1,2.19246023
2012,b97,42.98274442,corn,1,2.20193255
2012,b98,42.98205808,corn,1,2.20191577
2012,b99,42.98033633,corn,1,2.20187367
2012,b100,42.98009479,corn,1,2.20186776
2012,b101,43.12810742,corn,1,2.1941121
2012,b102,43.12714949,corn,1,2.19408789
2012,b103,0.0,others,0,0.19109887
2012,b104,26.05599468,others,1,0.70234017
2012,b105,43.13015543,corn,1,2.19416383
2012,b106,0.0,others,0,0.19109887
2012,b107,0.0,others,0,0.17946936
2012,b108,0.0,others,0,0.17946936
2012,b109,0.0,corn,0,0.0
2012,b110,42.9809606,corn,1,2.20188893
2012,b111,42.97889384,corn,1,2.20183839
2012,b112,42.97891067,corn,1,2.2018388
2012,b113,0.0,corn,0,0.0
2012,b114,43.12813681,corn,1,2.19411284
2012,b115,43.12886342,corn,1,2.1941312
2012,b116,43.12978801,corn,1,2.19415455
2012,b117,26.08896229,others,1,0.70262969
2012,b118,26.63981066,others,1,0.7041156
2012,b119,42.98154772,corn,1,2.20190329
2012,b120,42.98075701,corn,1,2.20188395
2012,b121,25.88404976,others,1,0.70483933
2012,b122,42.97935564,corn,1,2.20184969
2012,b123,26.02689151,others,1,0.70208384
2012,b124,0.0,corn,0,0.0
2012,b125,43.12851352,corn,1,2.19412236
2012,b126,43.12941458,corn,1,2.19414512
2012,b127,0.0,corn,0,0.0
2012,b128,43.68629325,corn,1,2.19857256
2012,b129,0.0,others,0,0.20501617
2012,b130,42.97981422,corn,1,2.2018609
2012,b131,42.97954245,corn,1,2.20185425
2012,b132,42.97950546,corn,1,2.20185335
2012,b133,26.01758153,others,1,0.70200169
2012,b134,43.12785609,corn,1,2.19410575
2012,b135,0.0,others,0,0.19109887
2012,b136,43.12903043,corn,1,2.19413541
2012,b137,43.129941,corn,1,2.19415842
2012,b138,43.68670892,corn,1,2.19858287
2012,b139,0.0,corn,0,0.0
2012,b140,42.98002039,corn,1,2.20186594
2012,b141,25.87393224,others,1,0.70475272
2012,b142,42.97980616,corn,1,2.2018607
2012,b143,25.88145103,others,1,0.70481709
2012,b144,43.12846677,corn,1,2.19412118
2012,b145,43.12778926,corn,1,2.19410406
2012,b146,43.12820835,corn,1,2.19411465
2012,b147,0.0,corn,0,0.0
2012,b148,43.12867263,corn,1,2.19412638
2012,b149,43.1302951,corn,1,2.19416736
2012,b150,43.68630376,corn,1,2.19857282
2012,b151,43.68732353,corn,1,2.19859811
2012,b152,42.83825234,corn,1,2.20833185
2012,b153,25.74813388,others,1,0.70715326
2012,b154,0.0,others,0,0.21727252
2012,b155,25.73272943,others,1,0.70702486
2012,b156,0.0,corn,0,0.0
2012,b157,43.00472753,corn,1,2.19878165
2012,b158,43.00477182,corn,1,2.19878275
2012,b159,0.0,others,0,0.20049724
2012,b160,43.00352342,corn,1,2.19875181
2012,b161,43.38515718,corn,1,2.19978135
2012,b162,0.0,corn,0,0.0
2012,b163,42.84224506,corn,1,2.20842669
2012,b164,0.0,corn,0,0.0
2012,b165,0.0,corn,0,0.0
2012,b166,43.00489956,corn,1,2.19878591
2012,b167,25.94818265,others,1,0.70410156
2012,b168,43.00241505,corn,1,2.19872434
2012,b169,43.00226203,corn,1,2.19872055
2012,b170,43.00306197,corn,1,2.19874037
2012,b171,0.0,corn,0,0.0
2012,b172,43.38573142,corn,1,2.19979552
2012,b173,43.6004861,corn,1,2.20430962
2012,b174,0.0,others,0,0.19018512
2012,b175,0.0,corn,0,0.0
2012,b176,43.38676482,corn,1,2.19982101
2012,b177,42.84188017,corn,1,2.20841802
2012,b178,42.8413997,corn,1,2.20840661
2012,b179,42.84120336,corn,1,2.20840195
2012,b180,0.0,others,0,0.20049724
2012,b181,25.95381835,others,1,0.70415017
