,year,bid,maxirr_season,crop,irrig_method,yield_pychamp_bu,yield_aquacrop_bu
0,2012,b1,267.6630386,others,1,0.70697125,N/A
1,2012,b2,267.7156667,others,1,0.70701516,N/A
2,2012,b3,0.0,corn,0,0.0,N/A
3,2012,b4,437.8124762,corn,1,2.20601506,20381.92660897885
4,2012,b5,0.0,others,0,0.18713386,N/A
5,2012,b6,0.0,corn,0,0.0,N/A
6,2012,b7,437.8081677,corn,1,2.20600471,20381.92075434839
7,2012,b8,0.0,others,0,0.18591103,N/A
8,2012,b9,437.7900061,corn,1,2.2059611,20381.889680761098
9,2012,b10,0.0,others,0,0.18713386,N/A
10,2012,b11,0.0,corn,0,0.0,N/A
11,2012,b12,0.0,corn,0,0.0,N/A
12,2012,b13,0.0,corn,0,0.0,N/A
13,2012,b14,0.0,others,0,0.18591103,N/A
14,2012,b15,0.0,others,0,0.18713386,N/A
15,2012,b16,0.0,others,0,0.18713386,N/A
16,2012,b17,0.0,corn,0,0.0,N/A
17,2012,b18,0.0,corn,0,0.0,N/A
18,2012,b19,432.8094521,corn,1,2.19393108,20374.099983088578
19,2012,b20,0.0,corn,0,0.0,N/A
20,2012,b21,430.9398704,corn,1,2.19627218,20373.237226992824
21,2012,b22,0.0,corn,0,0.0,N/A
22,2012,b23,0.0,corn,0,0.0,N/A
23,2012,b24,0.0,corn,0,0.0,N/A
24,2012,b25,0.0,corn,0,0.0,N/A
25,2012,b26,0.0,others,0,0.18621686,N/A
26,2012,b27,430.9302009999999,corn,1,2.19624797,20373.235864152095
27,2012,b28,430.4075214,corn,1,2.19493545,20373.15417547317
28,2012,b29,430.400856,corn,1,2.19491867,20373.15229026656
29,2012,b30,430.3938862,corn,1,2.19490112,20373.159561956265
30,2012,b31,432.79195790000006,corn,1,2.19388685,20374.075291372632
31,2012,b32,432.2711087,corn,1,2.19256625,20373.43206788323
32,2012,b33,432.2499394,corn,1,2.19251242,20373.429345173554
33,2012,b34,0.0,corn,0,0.0,N/A
34,2012,b35,267.86741800000004,others,1,0.70339616,N/A
35,2012,b36,437.9709059000001,corn,1,2.19559773,20382.214720420976
36,2012,b37,0.0,others,0,0.17237215,N/A
37,2012,b38,0.0,others,0,0.17237215,N/A
38,2012,b39,438.5172328,corn,1,2.19696573,20383.094266475407
39,2012,b40,0.0,corn,0,0.0,N/A
