year,GW_st,withdrawal,rainfed,irrigated,corn,others,corn_yield,others_yield,corn_irr_vol,others_irr_vol,total_irr_vol,total_irr_depth,Imitation,Social comparison,Repetition,Deliberation,total_profit,corn_profit,others_profit,profit_irr_depth,total_energy,energy_irr_depth
2012,18.65759026781698,38.64751242837714,0.4226190476190476,0.5773809523809523,0.6726190476190477,0.3273809523809524,346.05549519,41.21419687,33.81672439,4.8307881,38.64751249,7729.5024856,0.0,69.0,228.0,39.0,2554.59511084,2260.67955545,293.91555539,0.33049929353139995,0.03078707,3.983059719219453e-06
2013,18.403922611762745,26.654611965384653,0.39285714285714285,0.6071428571428571,0.5892857142857143,0.4107142857142857,376.30077556,82.43591619,23.3407158,3.3138961,26.6546119,5330.92239312,65.0,1.0,267.0,3.0,2213.9975902,1553.65089681,660.34669339,0.41531229061922725,0.02144332,4.022440849574998e-06
2014,18.258306031872426,23.390228999707514,0.4375,0.5625,0.5744047619047619,0.4255952380952381,391.34187666,98.54381024,20.62203935,2.7681895499999998,23.3902289,4678.04580005,29.0,0.0,307.0,0.0,1800.67598347,1278.19613812,522.47984535,0.38492055452957596,0.01887828,4.035505595049588e-06
2015,18.12686367186164,22.962004834162755,0.40773809523809523,0.5922619047619048,0.5565476190476191,0.44345238095238093,394.65330636,104.65092857,20.23240404,2.72960085,22.96200489,4592.40096677,135.0,1.0,151.0,49.0,1561.16703836,1121.68255921,439.48447915,0.33994571677351265,0.01860052,4.050282223741105e-06
2016,17.9348999598379,24.790444472016265,0.4255952380952381,0.5744047619047619,0.5803571428571429,0.41964285714285715,383.05353773,94.94792749,21.5596231,3.23082133,24.79044443,4958.08889443,113.0,45.0,169.0,9.0,1218.07748122,872.58965492,345.4878263,0.24567479671217846,0.02011804,4.057619866921091e-06
2017,17.923944066734308,19.321930305244507,0.40773809523809523,0.5922619047619048,0.6309523809523809,0.36904761904761907,465.15978071,92.31250926,18.23478097,1.08714923,19.3219302,3864.38606104,123.0,25.0,175.0,13.0,1519.47861921,1133.03960445,386.43901476,0.39320052272444833,0.01574342,4.073977017648972e-06
2018,17.75969673435644,23.95309161262439,0.4494047619047619,0.5505952380952381,0.6815476190476191,0.31845238095238093,467.42937634,74.91576157,22.77445333,1.17863869,23.95309202,4790.61832245,40.0,0.0,296.0,0.0,1994.23750501,1594.70570347,399.53180154,0.41627977241779396,0.01948033,4.066349829772589e-06
2019,17.920256543744447,14.140187027552598,0.4255952380952381,0.5744047619047619,0.7202380952380952,0.27976190476190477,542.77476388,66.08009895000001,14.12142169,0.01876535,14.14018704,2828.03740556,150.0,1.0,178.0,7.0,1915.1468530500001,1614.03592932,301.11092373,0.6771999724207213,0.01152452,4.075094614145653e-06
2020,17.657083802037267,26.941774673932937,0.4107142857142857,0.5892857142857143,0.6875,0.3125,365.72643784,53.98902731,25.00879944,1.93297535,26.94177479,5388.354935,172.0,52.0,112.0,0.0,1309.57668142,1042.64601105,266.93067037,0.24303831080496557,0.0219522,4.074007793623565e-06
2021,17.47692274266363,24.433868863251888,0.44047619047619047,0.5595238095238095,0.6607142857142857,0.3392857142857143,429.06382226,75.05338821,22.49112126,1.94274754,24.4338688,4886.77377282,69.0,0.0,267.0,0.0,2382.47031289,1885.59851126,496.87180163,0.4875343986949396,0.01998762,4.090146368381155e-06
2022,17.205559414790635,27.189224407039113,0.4107142857142857,0.5892857142857143,0.6934523809523809,0.30654761904761907,349.33292765,45.3063048,25.42382081,1.76540359,27.1892244,5437.84488142,34.0,51.0,251.0,0.0,4268.95674723,3802.41660247,466.54014476,0.7850457010673748,0.02226746,4.094905332089067e-06
