year,GW_st,withdrawal,rainfed,corn,others,corn_yield,others_yield,corn_irr_depth,others_irr_depth,total_irr_depth,corn_irr_vol,others_irr_vol,total_irr_vol,Imitation,Social comparison,Repetition,Deliberation,total_profit,profit_irr_depth,profit_irr_vol,total_energy,energy_irr_depth,energy_irr_vol
2012,18.6576,3864.7512,0.4226,0.6726,0.3274,346.0555,41.2142,6763.3449,966.1576,7729.5025,3381.6724,483.0788,3864.7512,0.0,69.0,228.0,39.0,2554.5951,0.3305,0.661,0.0308,0.0,0.0
2013,18.4041,2665.0145,0.3929,0.5893,0.4107,376.2782,82.4357,4667.3038,662.7252,5330.029,2333.6519,331.3626,2665.0145,65.0,1.0,267.0,3.0,2213.8912,0.4154,0.8307,0.0214,0.0,0.0
2014,18.2584,2339.2083,0.4375,0.5744,0.4256,391.3472,98.5434,4125.2957,553.1209,4678.4166,2062.6479,276.5604,2339.2083,29.0,0.0,307.0,0.0,1800.6909,0.3849,0.7698,0.0189,0.0,0.0
2015,18.1269,2296.338,0.4077,0.5565,0.4435,394.6535,104.6513,4046.5315,546.1445,4592.676,2023.2657,273.0723,2296.338,135.0,1.0,151.0,49.0,1561.1665,0.3399,0.6799,0.0186,0.0,0.0
2016,17.935,2479.0169,0.4256,0.5804,0.4196,383.0528,94.948,4311.8558,646.178,4958.0338,2155.9279,323.089,2479.0169,113.0,45.0,169.0,9.0,1218.0759,0.2457,0.4914,0.0201,0.0,0.0
2017,17.924,1932.1931,0.4077,0.631,0.369,465.1598,92.3125,3646.9563,217.4299,3864.3861,1823.4781,108.7149,1932.1931,123.0,25.0,175.0,13.0,1519.4786,0.3932,0.7864,0.0157,0.0,0.0
2018,17.7599,2394.902,0.4494,0.6815,0.3185,467.4292,74.9158,4554.137,235.6669,4789.8039,2277.0685,117.8334,2394.902,40.0,0.0,296.0,0.0,1994.2464,0.4164,0.8327,0.0195,0.0,0.0
2019,17.9204,1414.0187,0.4256,0.7202,0.2798,542.7748,66.0801,2824.2844,3.7531,2828.0375,1412.1422,1.8765,1414.0187,150.0,1.0,178.0,7.0,1915.1469,0.6772,1.3544,0.0115,0.0,0.0
2020,17.6574,2693.7612,0.4107,0.6875,0.3125,365.6891,53.9893,5000.8727,386.6497,5387.5224,2500.4364,193.3249,2693.7612,172.0,52.0,112.0,0.0,1309.4418,0.2431,0.4861,0.0219,0.0,0.0
2021,17.4773,2443.3192,0.4405,0.6607,0.3393,429.0598,75.0534,4497.9969,388.6416,4886.6384,2248.9984,194.3208,2443.3192,69.0,0.0,267.0,0.0,2382.4509,0.4875,0.9751,0.02,0.0,0.0
2022,17.2058,2719.1527,0.4107,0.6935,0.3065,349.3538,45.3064,5085.2167,353.0888,5438.3054,2542.6083,176.5444,2719.1527,34.0,51.0,251.0,0.0,4269.2036,0.785,1.57,0.0223,0.0,0.0
