,iteration,initWC,variable,value,obj_fun,set_minfunc,set_swarmsize,set_maxiter
0,0,FC,ccx,0.9212184458544324,1e+100,1000,2,2
1,0,FC,rtx,1.5103060890544069,1e+100,1000,2,2
2,0,FC,kc,1.0334001677410762,1e+100,1000,2,2
3,0,FC,wp,30.794490240031916,1e+100,1000,2,2
4,0,FC,hi,0.452353385071532,1e+100,1000,2,2
5,0,FC,hipsveg,6.711495722884293,1e+100,1000,2,2
6,0,FC,smt1,46.55066658210661,1e+100,1000,2,2
7,0,FC,smt2,41.64156318232273,1e+100,1000,2,2
8,0,FC,smt3,39.702799514503404,1e+100,1000,2,2
0,1,FC,ccx,0.9388164120889007,1e+100,1000,2,2
1,1,FC,rtx,1.6147356469213547,1e+100,1000,2,2
2,1,FC,kc,1.0561094167343499,1e+100,1000,2,2
3,1,FC,wp,32.33796937378115,1e+100,1000,2,2
4,1,FC,hi,0.4610286034098983,1e+100,1000,2,2
5,1,FC,hipsveg,1.4302963934932968,1e+100,1000,2,2
6,1,FC,smt1,49.87985762662662,1e+100,1000,2,2
7,1,FC,smt2,27.756291054496852,1e+100,1000,2,2
8,1,FC,smt3,8.184893404141613,1e+100,1000,2,2
0,2,FC,ccx,0.9736473302789035,1e+100,1000,2,2
1,2,FC,rtx,1.8622362749717714,1e+100,1000,2,2
2,2,FC,kc,1.0757077092601632,1e+100,1000,2,2
3,2,FC,wp,34.82133215732005,1e+100,1000,2,2
4,2,FC,hi,0.5018899458131587,1e+100,1000,2,2
5,2,FC,hipsveg,2.8778157814890397,1e+100,1000,2,2
6,2,FC,smt1,52.20233808333398,1e+100,1000,2,2
7,2,FC,smt2,5.694116747231115,1e+100,1000,2,2
8,2,FC,smt3,41.01514211935734,1e+100,1000,2,2
0,3,FC,ccx,0.889706531632827,1e+100,1000,2,2
1,3,FC,rtx,1.2362797496802,1e+100,1000,2,2
2,3,FC,kc,1.0377490278835118,1e+100,1000,2,2
3,3,FC,wp,33.336042306036695,1e+100,1000,2,2
4,3,FC,hi,0.4884939042342493,1e+100,1000,2,2
5,3,FC,hipsveg,0.6179008280297493,1e+100,1000,2,2
6,3,FC,smt1,42.57689650434419,1e+100,1000,2,2
7,3,FC,smt2,31.694618395459777,1e+100,1000,2,2
8,3,FC,smt3,34.27293187984613,1e+100,1000,2,2
0,4,FC,ccx,0.8624943751427107,1e+100,1000,2,2
1,4,FC,rtx,1.9971342681170825,1e+100,1000,2,2
2,4,FC,kc,1.0445285907770767,1e+100,1000,2,2
3,4,FC,wp,32.89572920554732,1e+100,1000,2,2
4,4,FC,hi,0.5055948435429437,1e+100,1000,2,2
5,4,FC,hipsveg,2.8022001754938612,1e+100,1000,2,2
6,4,FC,smt1,50.04816159396559,1e+100,1000,2,2
7,4,FC,smt2,41.69387009419745,1e+100,1000,2,2
8,4,FC,smt3,41.89159533759618,1e+100,1000,2,2
